#testcaseid,testrun,componentid,catagoryid,status,description
SMOKE-023-001,56557,1,1,pass,wan download speed(512000 bps) testcase passed as difference of expected response time(8.192) and actual response time(8.357) is less than or equals to 1.2
SMOKE-023-002,56558,1,1,pass,wan download speed(1000000 bps) testcase passed as difference of expected response time(4.194) and actual response time(4.391) is less than or equals to 1.2
SMOKE-023-003,56559,1,1,pass,wan download speed(2000000 bps) testcase passed as difference of expected response time(2.097) and actual response time(2.378) is less than or equals to 1.2
SMOKE-023-004,56560,1,1,pass,wan download speed(3500000 bps) testcase passed as difference of expected response time(1.198) and actual response time(1.241) is less than or equals to 1.2
SMOKE-024-001,56561,1,1,pass,inline transaction testcase passed
SMOKE-024-002,56562,1,1,pass,inline transaction testcase passed
SMOKE-024-003,56563,1,1,pass,inline transaction testcase passed
SMOKE-024-004,56564,1,1,pass,inline repeat for transaction passed
SMOKE-024-005,56565,1,1,pass,inline repeat for transaction passed
SMOKE-024-006,56566,1,1,pass,inline repeat for transaction passed
SMOKE-024-007,56567,1,1,pass,inline repeat and transaction testcase passed
SMOKE-024-008,56568,1,1,pass,ns timer api testcase passed as transaction time is equal to api timer
SMOKE-024-009,56569,1,1,pass,ns decode 3des api testcase passed
SMOKE-024-010,56570,1,1,pass,ns decode 3des api testcase passed
SMOKE-024-011,56571,1,1,pass,ns decode 3des api testcase passed
SMOKE-024-014,56572,1,1,pass,ns decode 3des api testcase passed
SMOKE-024-015,56573,1,1,pass,ns decode 3des api testcase passed
SMOKE-024-016,56574,1,1,pass,ns decode 3des api testcase passed
SMOKE-024-017,56575,1,1,pass,ns decode 3des api testcase passed
SMOKE-025-001,56576,1,1,pass,no caching across session for same user with client freshness;cache hit rate will be 100% of total users testcase is Sucessfully Passed
SMOKE-025-002,56577,1,1,pass,no caching across session for same user with client freshness;cache hit rate will be 100% of G1 total users testcase passed
SMOKE-025-003,56578,1,1,pass,no caching across session for same user with client freshness;cache hit rate will be 50% of G1 total users testcase passed
SMOKE-025-004,56579,1,1,pass,caching across session for same user without client freshness;cache hit rate will be 0% of G1 total users testcase passed
SMOKE-027-001,56580,1,1,pass,tracing keyword with mode;G_TRACING ALL 2 0 0 0 0 0 testcase passed
SMOKE-027-002,56581,1,1,pass,tracing keyword with mode;G_TRACING ALL 4 2 1 0 1 0 testcase passed
SMOKE-027-003,56582,1,1,pass,tracing for page dump report;same parameter is used multiple times in URL and body and header of page testcase passed
SMOKE-028-001,56583,1,1,pass,ns trace level 1 testcase passed
SMOKE-028-002,56584,1,1,pass,ns trace level 2 testcase passed
SMOKE-028-003,56585,1,1,pass,ns trace level 0 changing to level 1 at runtime  testcase passed
SMOKE-028-004,56586,1,1,pass,ns trace level 0 changing to level 2 at runtime  testcase passed
SMOKE-028-005,56587,1,1,pass,ns trace level 1 changing to level 2 at runtime  testcase passed
SMOKE-029-001,56588,1,1,pass,smoke error propagation with url status success should show in progress report and page and tx and in session report for G_ERR_CODE_OK G1 1 testcase passed
SMOKE-029-002,56589,1,1,pass,smoke error propagation with test will not stop on url failure and the page will end with CVFail status for G_ERR_CODE_OK G1 and G_CONTINUE_ON_PAGE_ERROR ALL ALL 1 testcase passed
SMOKE-029-003,56590,1,1,pass,smoke error propagation with script with 3 pages;2 transactions first tx(starts from 1st page and ends in 3rd page); second tx(starts and ends in 2nd page and 2nd page should fail with 4xx) testcase passed
SMOKE-030-001,56591,1,1,pass,fcu simple group based scenario smoke testcase passed
SMOKE-030-002,56592,1,1,pass,fcu advanced scenario smoke testcase passed
SMOKE-030-003,56593,1,1,pass,fcu advanced group based scenario smoke testcase passed
SMOKE-031-001,56594,1,1,pass,Expected executed no. of test run and test time is same as in the user_test_times.dat file 
SMOKE-032-001,56595,1,1,pass,IPV6 support test Passed
SMOKE-032-002,56596,1,1,pass,IPV6 redirection test passed
SMOKE-033-001,56597,1,1,pass,Payload: Header found in response for Reactive Replay
SMOKE-034-001,56598,1,1,pass,Referer not set on request page becasuse referer mode is disable
SMOKE-034-002,56599,1,1,pass,Referer on each page and change referer on redirect for browser behaviour 
SMOKE-034-003,56600,1,1,pass,Referer on each page and change referer on redirect for NS behaviour 
SMOKE-034-004,56601,1,1,pass,Referer on each page in both Session and browser  behaviour
SMOKE-034-005,56602,1,1,pass,Referer not set on request page becasuse referer mode is disable 
SMOKE-034-006,56603,1,1,pass,Referer on each pag and change referer on redirect for browser behaviour
SMOKE-034-007,56604,1,1,pass,Referer set on each page in both session in  browser  behaviour
SMOKE-034-008,56605,1,1,pass,Referer on each page in both Session and browser behaviour
SMOKE-034-013,56606,1,1,pass,Referer on each page and change referer on redirect for browser behaviour and Linking from HTTP to HTTPS.
SMOKE-034-014,56607,1,1,pass,Referer on each page and change referer on redirect for browser behaviour and Linking from HTTPS to HTTPS.
SMOKE-034-015,56608,1,1,pass,Referer on each page and change referer on redirect for browser behaviour and Linking from HTTPS to HTTP. 
SMOKE-035-001,56609,1,1,pass,validate_nvmFail_001 test passed
SMOKE-035-002,56610,1,1,pass,validate_nvm_rtc_002 test passed
SMOKE-036-001,56611,1,1,pass,Testcase smoke-inline-checkpoint-001(Failure condition checked) : Stop the session after string found with CVFail
SMOKE-036-002,56612,1,1,pass,Testcase smoke-inline-checkpoint-002(Failure condition checked) : Continue with the session after string found with CVFail
SMOKE-036-003,56613,1,1,pass,Testcase smoke-inline-checkpoint-003(Failure condition unchecked) : Continue with the session after string found with no CVFail
SMOKE-036-004,56614,1,1,pass,Testcase smoke-inline-checkpoint-004(Failure condition unchecked) : Stop the session after string not found with CVFail
SMOKE-036-005,56615,1,1,pass,Testcase smoke-inline-checkpoint-005(RE case with Failure condition checked) : Stop the session after string found with CVFail
SMOKE-036-006,56616,1,1,pass,Testcase smoke-inline-checkpoint-006(RE case with Failure condition checked) : Continue with session after string found with CVFail
SMOKE-036-007,56617,1,1,pass,Testcase smoke-inline-checkpoint-007(RE case with Failure condition not checked) : Continue with session after string found with no CVFail
SMOKE-036-008,56618,1,1,pass,Testcase smoke-inline-checkpoint-008(Failure condition checked with two checkpoint) : Continue after string found in first checkpoint and stop after string found in second checkpoint with CVFail
SMOKE-036-009,56619,1,1,pass,Testcase smoke-inline-checkpoint-009(Failure condition checked with two checkpoint) : Continue with the session because used(G_CONTINUE_ON_PAGE_ERROR ALL ALL 1)
SMOKE-037-001,56620,1,1,pass,RBU data validation between HAR and CSV Passed
SMOKE-038-001,56621,1,1,pass,validate server select mode
SMOKE-039-001,56622,1,1,pass,validate_RTC_fileparameter when monitor mode =1 and in file parameter mode=sequential
SMOKE-039-002,56623,1,1,pass,validate_RTC_fileparameter when monitor mode =2 and in file parameter mode=sequential
SMOKE-039-003,56624,1,1,fail,data not all appended in param3 file
SMOKE-039-004,56625,1,1,fail,data not all appended in param3 file
SMOKE-039-005,56626,1,1,pass,validate_RTC_fileparameter when monitor mode=1 and monitor applied in every 20 sec
