#--------------------------------------------------------------------------------------------------------------
# Name: netstorm_events.dat
# Purpose:
# This file contains list of Event ID, Event Name, Attribute Name List with Seperator (Not yet decided may be
# ',' seperated), Future1, Future2, Future3, Future4 and Event description, all fields should be | separated.
# 
# Format:
# Event ID|Event Name|Attribute Name List|Filtering Mode|Mode Based Param|Future1|Future2|future3|Future4|Event Description
#
# Where
#   Event ID is the event number. This should be unique
#   Event Name is the name of an event. Depends upon event id there should be some fixed event name.
#   Attribute Name List contains atrribute of an event like Machine, Monitor, Process  
#   Filtering Mode is used to specify which event filtering  apply to particular event id.
#   	#define NS_EVENT_NO_FILTER     0
#   	#define NS_EVENT_STATE_FILTER  1
#   	#define NS_EVENT_COUNT_FILTER  2
#   	#define NS_EVENT_TIME_FILTER   3
#   	#define NS_EVENT_ALL_FILTER    9
#
#   Mode Based parameter shoub be count or time. Its based on Filtering Mode. If Filtering mode 0 and 1 then it
#   should be NA. If Filtering mode 2 then its should be 'count' if Filtering mode 3 then it should be 'time'
#   Future1 for future use
#   Future2 for future use
#   Future3 for future use
#   Future4 for future use
#   Event Description is the detail description of an event. Like "Sending message to server" 
#
# Example
#   |For Standard Monitor 
#       |Event Id : 1000-5000
#   |For Custom Monitor ?? How to know which custom monitor?
#       |Event Id : 5001-1000  
#
#--------------------------------------------------------------------------------------------------------------
#Data Monitor Events
5052|Undef52|Script,Page,Server|3|10000|NA|NA|NA|NA|Undef52
5053|Undef53|Script,Page,Server|3|10000|NA|NA|NA|NA|Undef53
5054|Undef54|Script,Page,Server|3|10000|NA|NA|NA|NA|Undef54
5055|Undef55|Script,Page,Server|3|10000|NA|NA|NA|NA|Undef55
5056|Undef56|Script,Page,Server|3|10000|NA|NA|NA|NA|Undef56
5057|Undef57|Script,Page,Server|3|10000|NA|NA|NA|NA|Undef57
5058|Undef58|Script,Page,Server|3|10000|NA|NA|NA|NA|Undef58
5059|Undef59|Script,Page,Server|3|10000|NA|NA|NA|NA|Undef59
5060|Undef60|Script,Page,Server|3|10000|NA|NA|NA|NA|Undef60
5061|Undef61|Script,Page,Server|3|10000|NA|NA|NA|NA|Undef61
5062|Undef62|Script,Page,Server|3|10000|NA|NA|NA|NA|Undef62
5063|Undef63|Script,Page,Server|3|10000|NA|NA|NA|NA|Undef63
#
6001|DOS Attack|SourceIP,SourcePort,DestIP,DestPort|3|10000|NA|NA|NA|NA|DOS Attack event
#
#
7001|EID_SP_RELEASE|GroupName,SyncPointType,SyncPointName,ReleaseCount|0|NA|NA|NA|NA|NA|EID_SP_RELEASE event
7002|EID_SP_ADD_USER|GroupName,SyncPointType,SyncPointName,ReleaseCount|3|10000|NA|NA|NA|NA|EID_SP_ADD_USER event
7003|EID_SP_RUNTIME_CHANGE|GroupName,SyncPointType,SyncPointName,ReleaseCount|3|10000|NA|NA|NA|NA|EID_SP_RUNTIME_CHANGE event
7004|EID_SP_TIMEOUT|GroupName,SyncPointType,SyncPointName,ReleaseCount|3|10000|NA|NA|NA|NA|EID_SP_TIMEOUT event
